artist,technique,width_cm,height_cm,year_painted,auction_house,sale_year,price_usd
Salvador Dali,oil,90,82,1937,Sotheby's,2021,212195
Marcus Webb,oil,171,128,1888,Christie's,2011,44835
Yuki Tanaka,pastel,26,163,1930,Heritage Auctions,2016,11516
Elena Costa,acrylic,21,60,1988,Phillips,2014,1796
Anna Petrova,oil,43,117,1904,Phillips,2023,13503
Gerhard Richter,oil,137,157,1911,Bonhams,2011,1276941
Rashid Karimov,acrylic,167,69,1897,Christie's,2020,12250
Jeff Koons,oil,79,45,1977,Phillips,2017,144681
Mikhail Volkov,watercolor,114,110,1933,Phillips,2021,18945
Vincent van Gogh,pastel,182,63,2016,Sotheby's,2012,399726
Gerhard Richter,gouache,196,162,1936,Phillips,2023,1087042
Claude Monet,watercolor,28,100,1982,Phillips,2011,65068
Elena Costa,gouache,100,74,2007,Bonhams,2024,14214
Lucia Romano,watercolor,87,55,1943,Heritage Auctions,2018,11060
Elena Costa,mixed_media,169,122,1972,Sotheby's,2012,52901
Vincent van Gogh,oil,48,59,1920,Bonhams,2019,191105
Sara Lindqvist,pastel,139,155,1944,Heritage Auctions,2023,61691
Salvador Dali,gouache,157,88,1967,Christie's,2014,268015
Lucia Romano,oil,87,148,1925,Heritage Auctions,2024,47779
Jeff Koons,gouache,149,175,1930,Sotheby's,2015,700451
Marcus Webb,pastel,20,173,1962,Bonhams,2010,2138
Mikhail Volkov,acrylic,81,34,1941,Heritage Auctions,2011,2271
Henrik Olsen,oil,156,52,1912,Bonhams,2018,12816
Yuki Tanaka,pastel,128,74,2018,Sotheby's,2021,20584
Mikhail Volkov,mixed_media,152,135,1910,Sotheby's,2013,20122
Pablo Picasso,pastel,161,78,1936,Christie's,2011,632619
Claude Monet,watercolor,37,28,1964,Christie's,2018,27718
Henrik Olsen,watercolor,158,53,2001,Sotheby's,2022,7526
Tomas Berg,watercolor,44,44,1990,Phillips,2016,922
Claude Monet,gouache,187,185,1905,Christie's,2016,1751373
Salvador Dali,watercolor,69,68,2017,Bonhams,2012,76318
Gerhard Richter,mixed_media,83,39,1993,Heritage Auctions,2011,61840
Marcus Webb,oil,43,80,1922,Bonhams,2017,8788
Sara Lindqvist,oil,62,117,1880,Bonhams,2014,53281
Lucia Romano,acrylic,128,198,2004,Sotheby's,2013,66434
